148,496
811,394
626,267
548,148
1124,223
933,153
183,253
148,496
811,394
626,267
548,148
1124,223
933,153
183,253
112,525
816,387
627,265
550,145
207,251
928,105
1096,245
931,150
111,529
825,396
219,259
548,148
628,266
108,532
815,383
217,262
545,148
628,265
1069,226
937,161
109,530
814,388
627,264
1058,224
200,255
564,141
936,161
156,519
815,386
629,264
1058,224
562,143
186,260
821,379
159,516
185,238
631,258
545,141
1064,227
930,104
106,525
821,379
630,258
1064,225
219,290
565,138
188,272
106,528
818,367
726,271
224,260
549,149
114,522
825,356
225,265
733,288
535,142
1085,224
113,523
817,359
213,297
729,295
531,139
1090,227
1071,230
148,492
815,383
721,295
214,288
534,138
1059,230
1086,228
148,488
821,360
200,292
707,306
551,147
1069,231
1089,229
149,492
817,358
200,290
1111,222
915,145
162,292
150,491
812,358
1116,221
181,251
538,146
722,292
705,311
150,491
817,361
194,246
545,139
1108,221
716,308
943,106
152,493
813,359
1115,220
194,245
533,140
723,299
156,286
944,104
151,492
819,358
549,141
1096,221
739,304
132,257
944,105
151,492
824,356
1090,218
549,145
722,291
1116,220
946,107
150,493
804,355
1101,221
105,172
719,305
563,132
945,107
810,355
151,507
1100,221
721,303
151,402
76,235
945,107
150,526
805,356
1096,221
734,291
31,195
1120,222
542,140
149,526
817,389
726,312
1113,222
573,142
149,524
821,389
715,310
1181,273
1103,177
567,143
946,106
149,525
823,391
718,311
560,144
1200,158
1087,156
1079,197
641,129
943,105
149,522
816,383
573,146
1087,169
717,297
1079,191
945,106
107,517
817,386
657,157
571,144
707,305
1207,155
1090,163
945,107
1085,191
1110,160
110,526
809,365
1095,179
560,140
1210,155
111,529
811,373
956,157
563,144
1081,179
1217,267
1217,157
1246,274
109,530
806,364
546,142
953,149
1085,179
1225,153
904,159
1183,241
109,530
745,321
954,140
834,357
531,141
1088,181
1231,154
112,525
808,373
945,143
1097,181
1235,154
107,524
818,369
948,144
1095,180
537,136
1180,239
710,329
1191,203
1227,154
1097,223
109,525
817,365
944,145
556,143
1077,176
708,323
1174,243
1205,196
108,523
817,368
546,148
951,143
712,333
1241,156
1068,199
108,524
818,365
932,146
562,144
1045,207
733,297
1230,158
106,522
849,361
933,141
739,323
1052,226
1247,161
1233,163
110,501
843,365
937,147
1243,159
1040,237
537,140
735,296
735,325
957,146
1065,251
116,503
858,366
541,146
936,148
1093,177
736,295
1257,152
1056,176
1181,275
995,201
966,148
107,519
847,365
933,147
528,139
735,298
717,332
107,509
815,365
948,149
533,150
